"Town(s)","College(s)","Town Link(s)","College Link(s)"
"Multiple","Everest College","","https://en.wikipedia.org/wiki/Everest_College"
"Cross Lanes","Everest Institute-Cross Lanes","","https://en.wikipedia.org/wiki/Corinthian_Colleges"
"Olympia","Evergreen State College","","https://en.wikipedia.org/wiki/Evergreen_State_College"
"Braunschweig","Fachhochschule Braunschweig/Wolfenbüttel","https://en.wikipedia.org/wiki/Braunschweig","https://en.wikipedia.org/wiki/Braunschweig_University_of_Technology"
"Fairfax","Fairfax University Of America","","https://en.wikipedia.org/wiki/Fairfax_University_of_America"
"Fairfield","Fairfield University","https://en.wikipedia.org/wiki/Fairfield,_Connecticut","https://en.wikipedia.org/wiki/Fairfield_University"
"Fairfield, Connecticut","Fairfield University School Of Engineering","",""
"Fairmont","Fairlakes State Junior College","",""
"Madison","Fairleigh Dickinson University","https://en.wikipedia.org/wiki/Madison,_New_Jersey","https://en.wikipedia.org/wiki/Drew_University"
"Washington, D.C.","Fairmont Junior College","","https://en.wikipedia.org/wiki/Fairmont_Junior_College"
"Fairmont","Fairmont State University","https://en.wikipedia.org/wiki/Fairmont,_West_Virginia","https://en.wikipedia.org/wiki/Fairmont_State_University"
"Ankeny, Iowa","Faith Baptist Bible College And Theological Seminary","","https://en.wikipedia.org/wiki/Faith_Baptist_Bible_College_and_Theological_Seminary"
"Falkland Islands Community School","Falkland Islands","","https://en.wikipedia.org/wiki/Education_in_the_Falkland_Islands"
"Shawnee","Family Of Faith Christian University","",""
"Bayview","Farragut College And Technical Institute","","https://en.wikipedia.org/w/index.php?title=Farragut_College_and_Technical_Institute&action=edit&redlink=1"
"Los Angeles","Fashion Institute Of Design & Merchandising","","https://en.wikipedia.org/wiki/Fashion_Institute_of_Design_%26_Merchandising"
"Montgomery","Faulkner University","","https://en.wikipedia.org/wiki/Faulkner_University"
"Warrenton","Fauquier Institute","","https://en.wikipedia.org/wiki/Fauquier_Institute"
"Fayetteville","Fayetteville State University","","https://en.wikipedia.org/wiki/Fayetteville_State_University"
"United States Department of Education Bureau of Indian Education (Native Americans) Department of Defense Education Activity (military dependents)","Federal","",""
"Washington, D.C.","Federal District","","https://en.wikipedia.org/wiki/Federal_district"
"Juiz de Fora","Federal University Of Juiz De Fora","https://en.wikipedia.org/wiki/Juiz_de_Fora","https://en.wikipedia.org/wiki/Federal_University_of_Juiz_de_Fora"
"Chamical","Federal University Of La Rioja, Chamical","https://en.wikipedia.org/wiki/Chamical","https://en.wikipedia.org/wiki/National_University_of_La_Rioja"
"Pelotas","Federal University Of Pelotas","https://en.wikipedia.org/wiki/Pelotas","https://en.wikipedia.org/wiki/Federal_University_of_Pelotas"
"Santa Maria, Rio Grande do Sul","Federal University Of Santa Maria","https://en.wikipedia.org/wiki/Santa_Maria,_Rio_Grande_do_Sul","https://en.wikipedia.org/wiki/Federal_University_of_Santa_Maria"
"São Carlos","Federal University Of São Carlos","https://en.wikipedia.org/wiki/S%C3%A3o_Carlos","https://en.wikipedia.org/wiki/Federal_University_of_S%C3%A3o_Carlos"
"São João del-Rei, Minas Gerais","Federal University Of São João Del-Rei","https://en.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_del_Rei","https://en.wikipedia.org/wiki/Federal_University_of_S%C3%A3o_Jo%C3%A3o_del-Rei"
"Viçosa, Minas Gerais","Federal University Of Viçosa","https://en.wikipedia.org/wiki/Vi%C3%A7osa,_Minas_Gerais","https://en.wikipedia.org/wiki/Federal_University_of_Vi%C3%A7osa"
"Haskell Indian Nations US Army Command and General Staff","Federal/Military Colleges","",""
"Ballarat","Federation University Australia","https://en.wikipedia.org/wiki/Ballarat","https://en.wikipedia.org/wiki/Federation_University_Australia"
"Lodi and Rutherford","Felician University","","https://en.wikipedia.org/wiki/Felician_University"
"Felician Sisters","Felician University ( Lodi, New Jersey )","",""
"Big Rapids","Ferris State University","https://en.wikipedia.org/wiki/Big_Rapids,_Michigan","https://en.wikipedia.org/wiki/Ferris_State_University"
"Ferrum","Ferrum College","","https://en.wikipedia.org/wiki/Ferrum_College"
"Manhattan","Finch College","","https://en.wikipedia.org/wiki/Finch_College"
"Hancock","Finlandia University","","https://en.wikipedia.org/wiki/Finlandia_University"
"Boston","Fisher College","","https://en.wikipedia.org/wiki/Fisher_College"
"Nashville","Fisk University","","https://en.wikipedia.org/wiki/Fisk_University"
"Fitchburg","Fitchburg State University","https://en.wikipedia.org/wiki/Fitchburg,_Massachusetts","https://en.wikipedia.org/wiki/Fitchburg_State_University"
"St. Augustine","Flagler College","https://en.wikipedia.org/wiki/St._Augustine,_Florida","https://en.wikipedia.org/wiki/Flagler_College"
"Buffalo Stony Brook","Flagship Campuses","",""
"Mount Gambier","Flinders University","https://en.wikipedia.org/wiki/Mount_Gambier","https://en.wikipedia.org/wiki/University_of_South_Australia"
"Red Springs","Flora Macdonald College","","https://en.wikipedia.org/wiki/Flora_MacDonald_College"
"Florence","Florence Synodical Female College","","https://en.wikipedia.org/wiki/Florence_Synodical_Female_College"
"Florence","Florence–Darlington Technical College","","https://en.wikipedia.org/wiki/Florence%E2%80%93Darlington_Technical_College"
"Tallahassee","Florida A&M University","https://en.wikipedia.org/wiki/Tallahassee,_Florida","https://en.wikipedia.org/wiki/Florida_State_University"
"Tallahassee","Florida Agricultural And Mechanical University","","https://en.wikipedia.org/wiki/Florida_A%26M_University"
"Boca Raton","Florida Atlantic University","https://en.wikipedia.org/wiki/Boca_Raton,_Florida","https://en.wikipedia.org/wiki/Florida_Atlantic_University"
"Aysegul Timur , President","Florida Gulf Coast University","","https://en.wikipedia.org/wiki/Florida_Gulf_Coast_University"
"Huntsville","Florida Institute Of Technology","","https://en.wikipedia.org/wiki/Florida_Institute_of_Technology"
"Jeanette Nuñez , Interim President","Florida International University","","https://en.wikipedia.org/wiki/Florida_International_University"
"Miami Gardens","Florida Memorial University","","https://en.wikipedia.org/wiki/Florida_Memorial_University"
"Jeremy P. Martin, President","Florida Southern College","","https://en.wikipedia.org/wiki/Florida_Southern_College"
"Tallahassee","Florida State College For Women","","https://en.wikipedia.org/wiki/Florida_State_College_for_Women"
"Tallahassee","Florida State University","https://en.wikipedia.org/wiki/Tallahassee,_Florida","https://en.wikipedia.org/wiki/Florida_State_University"
"Ciudad del Saber","Florida State University - Panama","","https://en.wikipedia.org/wiki/Florida_State_University-Panama"
"Niterói, Rio de Janeiro","Fluminense Federal University","https://en.wikipedia.org/wiki/Niter%C3%B3i,_Rio_de_Janeiro","https://en.wikipedia.org/wiki/Fluminense_Federal_University"
"Cloquet","Fond Du Lac Tribal And Community College","","https://en.wikipedia.org/wiki/Fond_du_Lac_Tribal_and_Community_College"
"St. Louis, Missouri","Fontbonne University","","https://en.wikipedia.org/wiki/Fontbonne_University"
"Tania Tetlow , President","Fordham University","","https://en.wikipedia.org/wiki/Fordham_University"
"New York, New York","Fordham University School Of Law","","https://en.wikipedia.org/wiki/Fordham_University_School_of_Law"
"St. Louis","Forest Park College","",""
"Seattle","Forest Ridge Junior College","",""
"St. Charles College","Former Colleges","",""
"Hays","Fort Hays State University","https://en.wikipedia.org/wiki/Hays,_Kansas","https://en.wikipedia.org/wiki/Fort_Hays_State_University"
"Durango","Fort Lewis College","https://en.wikipedia.org/wiki/Durango,_Colorado","https://en.wikipedia.org/wiki/Fort_Lewis_College"
"Public","Fort Valley","","https://en.wikipedia.org/wiki/Fort_Valley,_Georgia"
"Fort Valley","Fort Valley State University","https://en.wikipedia.org/wiki/Fort_Valley,_Georgia","https://en.wikipedia.org/wiki/Fort_Valley_State_University"
"Toppenish","Fort Wright College","",""
"Indianapolis","Fortis College","","https://en.wikipedia.org/wiki/Fortis_College"
"Dumaguete","Foundation University","https://en.wikipedia.org/wiki/Dumaguete","https://en.wikipedia.org/wiki/Silliman_University"
"Four-year (senior colleges)","Four-Year","",""
"Tinley Park","Fox College","","https://en.wikipedia.org/wiki/Fox_College"
"Appleton","Fox Valley Technical College","","https://en.wikipedia.org/wiki/Fox_Valley_Technical_College"
"Framingham","Framingham State University","","https://en.wikipedia.org/wiki/Framingham_State_University"
"Florence","Francis Marion University","https://en.wikipedia.org/wiki/Florence,_South_Carolina","https://en.wikipedia.org/wiki/Francis_Marion_University"
"known as Our Lady of the Lake College until 2016","Franciscan Missionaries Of Our Lady University ( Baton Rouge, Louisiana )","",""
"Oceanside, California","Franciscan School Of Theology","","https://en.wikipedia.org/wiki/Franciscan_School_of_Theology"
"Steubenville","Franciscan University Of Steubenville","https://en.wikipedia.org/wiki/Steubenville,_Ohio","https://en.wikipedia.org/wiki/Franciscan_University_of_Steubenville"
"Franciscan Friars of the Third Order Regular","Franciscan University Of Steubenville ( Steubenville, Ohio )","",""
"Franconia","Franconia College","","https://en.wikipedia.org/wiki/Franconia_College"
"Borger","Frank Phillips College","","https://en.wikipedia.org/wiki/Frank_Phillips_College"
"Barbara K. Altmann , President","Franklin & Marshall College","","https://en.wikipedia.org/wiki/Franklin_%26_Marshall_College"
"Lancaster city","Franklin And Marshall College","","https://en.wikipedia.org/wiki/Franklin_%26_Marshall_College"
"Franklin","Franklin College","","https://en.wikipedia.org/wiki/Franklin_College_(Indiana)"
"Rindge","Franklin Pierce University","","https://en.wikipedia.org/wiki/Franklin_Pierce_University"
"Columbus","Franklin University","","https://en.wikipedia.org/wiki/Franklin_University"
"Lugano","Franklin University Switzerland","","https://en.wikipedia.org/wiki/Franklin_University_Switzerland"
"Santa Maria, Rio Grande do Sul","Fransciscan University Center","https://en.wikipedia.org/wiki/Santa_Maria,_Rio_Grande_do_Sul","https://en.wikipedia.org/wiki/Federal_University_of_Santa_Maria"
"Frederick","Frederick Community College","","https://en.wikipedia.org/wiki/Frederick_Community_College"
"Santa Monica","Frederick S. Pardee Rand Graduate School","","https://en.wikipedia.org/wiki/Frederick_S._Pardee_RAND_Graduate_School"
"Henderson","Freed-Hardeman University","https://en.wikipedia.org/wiki/Henderson,_Tennessee","https://en.wikipedia.org/wiki/Freed-Hardeman_University"
"Freeman","Freeman Junior College","","https://en.wikipedia.org/wiki/Freeman_Junior_College"
"Freiberg","Freiberg University Of Mining And Technology","https://en.wikipedia.org/wiki/Freiberg","https://en.wikipedia.org/wiki/Freiberg_University_of_Mining_and_Technology"
"Fresno","Fresno Pacific University","","https://en.wikipedia.org/wiki/Fresno_Pacific_University"
"Rock Hill","Friendship College","","https://en.wikipedia.org/wiki/Friendship_College"
"Frostburg","Frostburg State University","https://en.wikipedia.org/wiki/Frostburg,_Maryland","https://en.wikipedia.org/wiki/Frostburg_State_University"
"Wenzizun","Fu Jen Catholic University","https://en.wikipedia.org/wiki/Wenzizun","https://en.wikipedia.org/wiki/Fu_Jen_Catholic_University"
"Ho Chi Minh City","Fulbright University Vietnam","","https://en.wikipedia.org/wiki/Fulbright_University_Vietnam"
"Full-time","Full-Time","",""
"Phoenix","Fuller Theological Seminary","","https://en.wikipedia.org/wiki/Fuller_Theological_Seminary"
"Greenville","Furman University","https://en.wikipedia.org/wiki/Greenville,_South_Carolina","https://en.wikipedia.org/wiki/Bob_Jones_University"
"Franklin","Future Generations University","","https://en.wikipedia.org/wiki/Future_Generations_University"
"Sleman Regency","Gadjah Mada University","https://en.wikipedia.org/wiki/Sleman_Regency","https://en.wikipedia.org/wiki/Gadjah_Mada_University"
"Gadsden","Gadsden State Community College","","https://en.wikipedia.org/wiki/Gadsden_State_Community_College"
"Galesville","Gale College","","https://en.wikipedia.org/wiki/Gale_College"
"Washington","Gallaudet University","","https://en.wikipedia.org/wiki/Gallaudet_University"
"Searcy","Galloway Female College","","https://en.wikipedia.org/wiki/Galloway_Female_College"
"Galveston","Galveston College","","https://en.wikipedia.org/wiki/Galveston_College"
"Erie, Pennsylvania","Gannon University","","https://en.wikipedia.org/wiki/Gannon_University"
"Erie, Pennsylvania","Gannon University College Of Engineering And Business","",""
"Boiling Springs","Gardner-Webb University","https://en.wikipedia.org/wiki/Boiling_Springs,_North_Carolina","https://en.wikipedia.org/wiki/Gardner-Webb_University"
"Boston","Garland Junior College","","https://en.wikipedia.org/wiki/Garland_Junior_College"
"McHenry","Garrett College","","https://en.wikipedia.org/wiki/Garrett_College"
"New Haven","Gateway Community College","","https://en.wikipedia.org/wiki/Gateway_Community_College"
"Ontario","Gateway Seminary","","https://en.wikipedia.org/wiki/Gateway_Seminary"
"Kenosha","Gateway Technical College","https://en.wikipedia.org/wiki/Kenosha,_Wisconsin","https://en.wikipedia.org/wiki/University_of_Wisconsin-Parkside"
"Gdańsk","Gdańsk University Of Technology","https://en.wikipedia.org/wiki/Gda%C5%84sk","https://en.wikipedia.org/wiki/University_of_Gda%C5%84sk"
"Scranton city","Geisinger Commonwealth School Of Medicine","","https://en.wikipedia.org/wiki/Geisinger_Commonwealth_School_of_Medicine"
"Chicago","Generations College","","https://en.wikipedia.org/wiki/Generations_College"
"Beaver Falls city","Geneva College","","https://en.wikipedia.org/wiki/Geneva_College"
"Birds Mammals Reptiles Geology National Park Protected areas Template Superfund sites Rainmaker Mountain Matafao Peak Vaiʻava Strait Cape Taputapu","Geography","","https://en.wikipedia.org/wiki/Geography_of_American_Samoa"
"Newberg","George Fox University","https://en.wikipedia.org/wiki/Newberg,_Oregon","https://en.wikipedia.org/wiki/George_Fox_University"
"Arlington","George Mason University","https://en.wikipedia.org/wiki/Arlington_County,_Virginia","https://en.wikipedia.org/wiki/Marymount_University"
"Incheon","George Mason University - Korea Campus","",""
"Sedalia","George R. Smith College","","https://en.wikipedia.org/wiki/George_R._Smith_College"
"Multiple","George Washington University","","https://en.wikipedia.org/wiki/George_Washington_University"
"Draper","George Wythe University","","https://en.wikipedia.org/wiki/George_Wythe_University"
"Georgetown","Georgetown College","https://en.wikipedia.org/wiki/Georgetown,_Kentucky","https://en.wikipedia.org/wiki/Georgetown_College"
"Georgetown","Georgetown Female College","",""
"Arlington","Georgetown University","","https://en.wikipedia.org/wiki/Georgetown_University"
"Doha","Georgetown University In Qatar","","https://en.wikipedia.org/wiki/Georgetown_University_in_Qatar"
"Washington, D.C.","Georgetown University Law Center","","https://en.wikipedia.org/wiki/Georgetown_University_Law_Center"
"Washington, D.C.","Georgetown University School Of Medicine","","https://en.wikipedia.org/wiki/Georgetown_University_School_of_Medicine"
"Public","Georgia","","https://en.wikipedia.org/wiki/Georgia_(U.S._state)"
"Macon","Georgia Baptist College","","https://en.wikipedia.org/wiki/Georgia_Baptist_College"
"Public","Georgia College","","https://en.wikipedia.org/wiki/Georgia_College_%26_State_University#Athletics"
"Macon","Georgia College & State University","https://en.wikipedia.org/wiki/Macon,_Georgia","https://en.wikipedia.org/wiki/Mercer_University"
"Public","Georgia Gwinnett","","https://en.wikipedia.org/wiki/Georgia_Gwinnett_College#Athletics"
"Lawrenceville","Georgia Gwinnett College","https://en.wikipedia.org/wiki/Lawrenceville,_Georgia","https://en.wikipedia.org/wiki/Georgia_Gwinnett_College"
"Public","Georgia Highlands","","https://en.wikipedia.org/wiki/Georgia_Highlands_College#Athletics"
"Rome","Georgia Highlands College","","https://en.wikipedia.org/wiki/Georgia_Highlands_College"
"Atlanta","Georgia Institute Of Technology","","https://en.wikipedia.org/wiki/Georgia_Institute_of_Technology"
"Atlanta","Georgia Institute Of Technology-Main Campus","","https://en.wikipedia.org/wiki/Georgia_Tech"
"Madison","Georgia Military College","https://en.wikipedia.org/wiki/Madison,_Georgia","https://en.wikipedia.org/wiki/Georgia_Military_College"
"Public","Georgia Southern","","https://en.wikipedia.org/wiki/Georgia_Southern_University#Athletics"
"Statesboro","Georgia Southern University","https://en.wikipedia.org/wiki/Statesboro,_Georgia","https://en.wikipedia.org/wiki/Georgia_Southern_University"
"Public","Georgia Southern University-Armstrong Campus","","https://en.wikipedia.org/wiki/Georgia_Southern_University-Armstrong_Campus"
"Public","Georgia Southwestern","","https://en.wikipedia.org/wiki/Georgia_Southwestern_State_University#Athletics"
"Americus","Georgia Southwestern State University","","https://en.wikipedia.org/wiki/Georgia_Southwestern_State_University"
"Public","Georgia State","","https://en.wikipedia.org/wiki/Georgia_State_University#Athletics_and_traditions"
"Atlanta","Georgia State University","","https://en.wikipedia.org/wiki/Georgia_State_University"
"Public","Georgia Tech","","https://en.wikipedia.org/wiki/Georgia_Institute_of_Technology"
"Metz","Georgia Tech Lorraine","","https://en.wikipedia.org/wiki/Georgia_Tech_Lorraine"
"Lakewood","Georgian Court University","","https://en.wikipedia.org/wiki/Georgian_Court_University"
"Speyer","German University Of Administrative Sciences Speyer","https://en.wikipedia.org/wiki/Speyer","https://en.wikipedia.org/wiki/German_University_of_Administrative_Sciences_Speyer"
"Locust Grove","Germanna Community College","","https://en.wikipedia.org/wiki/Germanna_Community_College"
"Gettysburg","Gettysburg College","https://en.wikipedia.org/wiki/Gettysburg,_Pennsylvania","https://en.wikipedia.org/wiki/Gettysburg_College"
"Legon","Ghana Institute Of Management And Public Administration","https://en.wikipedia.org/w/index.php?title=Legon,_Accra&action=edit&redlink=1","https://en.wikipedia.org/wiki/University_of_Ghana"
"Cape Coast","Ghana National College","https://en.wikipedia.org/w/index.php?title=Cape_Coast,_Central_Region&action=edit&redlink=1","https://en.wikipedia.org/wiki/University_of_Cape_Coast"
"Ghent","Ghent University","https://en.wikipedia.org/wiki/Ghent","https://en.wikipedia.org/wiki/Ghent_University"
"Livingston , Boston , Norwalk , Tysons Corner , and Cranston","Gibbs College","","https://en.wikipedia.org/wiki/Gibbs_College"
"St. Petersburg","Gibbs Junior College","","https://en.wikipedia.org/wiki/Gibbs_Junior_College"
"Bayside Comprehensive School Westside School University of Gibraltar","Gibraltar","","https://en.wikipedia.org/wiki/Education_in_Gibraltar"
"Gillette","Gillette College","","https://en.wikipedia.org/wiki/Gillette_College"
"Kyrenia","Girne American University","","https://en.wikipedia.org/wiki/Girne_American_University"
"Centreville","Glen Oaks Community College","","https://en.wikipedia.org/wiki/Glen_Oaks_Community_College"
"Glenville","Glenville State University","https://en.wikipedia.org/wiki/Glenville,_West_Virginia","https://en.wikipedia.org/wiki/Glenville_State_University"
"Academic Ranking of World Universities Center for World University Rankings CWTS Leiden Ranking Global University Ranking Mines ParisTech: Professional Ranking of World Universities Performance Ranking of Scientific Papers for World Universities QS World University Rankings Round University Ranking SCImago Institutions Rankings Times Higher Education World University Rankings University Ranking by Academic Performance U.S. News & World Report Best Global University Ranking Webometrics Ranking of World Universities World's Universities with Real Impact","Global","",""
"Alexandria","Global Health College","",""
"multiple","Globe University And Minnesota School Of Business","","https://en.wikipedia.org/wiki/Globe_University_and_Minnesota_School_of_Business"
"Sioux Falls","Globe University/Minnesota School Of Business","https://en.wikipedia.org/wiki/Sioux_Falls,_South_Dakota","https://en.wikipedia.org/wiki/University_of_Sioux_Falls"
"Eau Claire","Globe University–Eau Claire","","https://en.wikipedia.org/wiki/Globe_University"
"Sioux Falls","Globe University–Sioux Falls","","https://en.wikipedia.org/wiki/Globe_University"
"Plainfield","Goddard College","","https://en.wikipedia.org/wiki/Goddard_College"
"Ironwood","Gogebic Community College","","https://en.wikipedia.org/wiki/Gogebic_Community_College"
"Mill Valley, California","Golden Gate Baptist Theological Seminary","","https://en.wikipedia.org/wiki/Golden_Gate_Baptist_Theological_Seminary"
"San Francisco","Golden Gate University","","https://en.wikipedia.org/wiki/Golden_Gate_University"
"Santa Clara, California","Golden State Baptist College","","https://en.wikipedia.org/wiki/Golden_State_Baptist_College"
"Golden Valley","Golden Valley Lutheran College","","https://en.wikipedia.org/wiki/Golden_Valley_Lutheran_College"
"Pike Creek Valley","Goldey–Beacom College","","https://en.wikipedia.org/wiki/Goldey%E2%80%93Beacom_College"
"Spokane","Gonzaga University","","https://en.wikipedia.org/wiki/Gonzaga_University"
"Spokane, Washington","Gonzaga University School Of Engineering And Applied Science","",""
"Spokane, Washington","Gonzaga University School Of Law","","https://en.wikipedia.org/wiki/Gonzaga_University_School_of_Law"
"Gooding","Gooding College","","https://en.wikipedia.org/wiki/Gooding_College"
"East Hartford","Goodwin College","https://en.wikipedia.org/wiki/East_Hartford,_Connecticut","https://en.wikipedia.org/wiki/Goodwin_College"
"East Hartford","Goodwin University","","https://en.wikipedia.org/wiki/Goodwin_University"
"Wenham","Gordon College","","https://en.wikipedia.org/wiki/Gordon_College_(Massachusetts)"
"Public","Gordon State","","https://en.wikipedia.org/wiki/Gordon_State_College#Athletics"
"Barnesville","Gordon State College","","https://en.wikipedia.org/wiki/Gordon_State_College"
"South Hamilton","Gordon–Conwell Theological Seminary","","https://en.wikipedia.org/wiki/Gordon%E2%80%93Conwell_Theological_Seminary"
"Gorham","Gorham State College","","https://en.wikipedia.org/wiki/Gorham_State_College"
"Goshen","Goshen College","","https://en.wikipedia.org/wiki/Goshen_College"
"Towson","Goucher College","","https://en.wikipedia.org/wiki/Goucher_College"
"Florida Board of Control Florida Board of Regents Florida Board of Governors","Governing Body","",""
"Naperville","Governors State University","https://en.wikipedia.org/wiki/Naperville,_Illinois","https://en.wikipedia.org/wiki/North_Central_College"
"Wyoming","Grace Christian University","","https://en.wikipedia.org/wiki/Grace_Christian_University"
"Winona Lake","Grace College & Seminary","","https://en.wikipedia.org/wiki/Grace_College_%26_Seminary"
"Omaha","Grace University","","https://en.wikipedia.org/wiki/Grace_University"
"Lamoni","Graceland University","https://en.wikipedia.org/wiki/Lamoni,_Iowa","https://en.wikipedia.org/wiki/Graceland_University"
"Graduate and professional programs","Graduate And Professional Programs","",""
"Chase F. Robinson , President","Graduate Center, Cuny","","https://en.wikipedia.org/wiki/Graduate_Center,_CUNY"
"University Town of Shenzhen","Graduate School At Shenzhen, Harbin Institute Of Technology","https://en.wikipedia.org/wiki/University_Town_of_Shenzhen","https://en.wikipedia.org/wiki/Graduate_School_at_Shenzhen,_Tsinghua_University"
"University Town of Shenzhen","Graduate School At Shenzhen, Peking University","https://en.wikipedia.org/wiki/University_Town_of_Shenzhen","https://en.wikipedia.org/wiki/Graduate_School_at_Shenzhen,_Tsinghua_University"
"University Town of Shenzhen","Graduate School At Shenzhen, Tsinghua University","https://en.wikipedia.org/wiki/University_Town_of_Shenzhen","https://en.wikipedia.org/wiki/Graduate_School_at_Shenzhen,_Tsinghua_University"
"Private not-for-profit","Graduate School Usa","","https://en.wikipedia.org/wiki/Graduate_School_USA"
"Berkeley","Graduate Theological Union","","https://en.wikipedia.org/wiki/Graduate_Theological_Union"
"Grambling","Grambling State University","https://en.wikipedia.org/wiki/Grambling,_Louisiana","https://en.wikipedia.org/wiki/Grambling_State_University"
"Phoenix","Grand Canyon University","","https://en.wikipedia.org/wiki/Grand_Canyon_University"
"Grand Island","Grand Island Baptist College","",""
"Grand Island","Grand Island College","",""
"Grand Rapids","Grand Rapids Community College","","https://en.wikipedia.org/wiki/Grand_Rapids_Community_College"
"Grand Rapids","Grand Rapids Theological Seminary","","https://en.wikipedia.org/wiki/Grand_Rapids_Theological_Seminary"
"Benzonia","Grand Traverse College","","https://en.wikipedia.org/wiki/Grand_Traverse_College"
"Allendale","Grand Valley State University","https://en.wikipedia.org/wiki/Allendale,_Michigan","https://en.wikipedia.org/wiki/Grand_Valley_State_University"
"Des Moines","Grand View University","","https://en.wikipedia.org/wiki/Grand_View_University"
"Nine locations","Granite State College","","https://en.wikipedia.org/wiki/Granite_State_College"
"Melrose Park","Gratz College","","https://en.wikipedia.org/wiki/Gratz_College"
"Denison","Grayson College","","https://en.wikipedia.org/wiki/Grayson_College"
"Elko","Great Basin College","","https://en.wikipedia.org/wiki/Great_Basin_College"
"Portsmouth","Great Bay Community College","","https://en.wikipedia.org/wiki/Great_Bay_Community_College"
"Great Falls","Great Falls College Montana State University","https://en.wikipedia.org/wiki/Great_Falls,_Montana","https://en.wikipedia.org/wiki/University_of_Great_Falls"
"Lansing","Great Lakes Christian College","","https://en.wikipedia.org/wiki/Great_Lakes_Christian_College"
"Millcreek Township","Great Lakes Institute Of Technology","","https://en.wikipedia.org/w/index.php?title=Great_Lakes_Institute_of_Technology&action=edit&redlink=1"
"Poultney","Green Mountain College","","https://en.wikipedia.org/wiki/Green_Mountain_College"
"Lewisburg","Greenbrier College","","https://en.wikipedia.org/wiki/Greenbrier_College"
"Lewisburg","Greenbrier Military School","","https://en.wikipedia.org/wiki/Greenbrier_Military_School"
"Greenfield","Greenfield Community College","","https://en.wikipedia.org/wiki/Greenfield_Community_College_(Massachusetts)"
"Greensboro","Greensboro College","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Greensboro"
"Greenville","Greenville (Baptist) Female College","",""
"Greenville","Greenville Technical College","","https://en.wikipedia.org/wiki/Greenville_Technical_College"
"Greenville","Greenville University","","https://en.wikipedia.org/wiki/Greenville_University"
"Griffin","Griffin Female College","",""
"Grinnell","Grinnell College","https://en.wikipedia.org/wiki/Grinnell,_Iowa","https://en.wikipedia.org/wiki/Grinnell_College"
"Grove City","Grove City College","https://en.wikipedia.org/wiki/Grove_City,_Pennsylvania","https://en.wikipedia.org/wiki/Grove_City_College"
"Grundy Center, Iowa","Grundy College","","https://en.wikipedia.org/wiki/Grundy_College"
"Seguin","Guadalupe College","","https://en.wikipedia.org/wiki/Guadalupe_College"
"Guangzhou Higher Education Mega Center","Guangzhou University","https://en.wikipedia.org/wiki/Guangzhou_Higher_Education_Mega_Center","https://en.wikipedia.org/wiki/Sun_Yat-sen_University"
"Greensboro","Guilford College","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Greensboro"
"Panama City","Gulf Coast State College","https://en.wikipedia.org/wiki/Panama_City,_Florida","https://en.wikipedia.org/wiki/Gulf_Coast_State_College"
"Sanad","Gulf University, Bahrain","https://en.wikipedia.org/wiki/Sanad,_Bahrain","https://en.wikipedia.org/wiki/Gulf_University,_Bahrain"
"Gilford","Gunstock College","","https://en.wikipedia.org/w/index.php?title=Gunstock_College&action=edit&redlink=1"
"San Mateo, California","Gurnick Academy","","https://en.wikipedia.org/wiki/Gurnick_Academy"
"St. Peter","Gustavus Adolphus College","https://en.wikipedia.org/wiki/St._Peter,_Minnesota","https://en.wikipedia.org/wiki/Gustavus_Adolphus_College"
"Eugene","Gutenberg College","","https://en.wikipedia.org/wiki/Gutenberg_College"
"Scott E. Evenbeck, President","Guttman Community College","","https://en.wikipedia.org/wiki/Guttman_Community_College"
"Lawrenceville","Gwinnett Technical College","https://en.wikipedia.org/wiki/Lawrenceville,_Georgia","https://en.wikipedia.org/wiki/Georgia_Gwinnett_College"
"Lower Gwynedd township","Gwynedd Mercy University","","https://en.wikipedia.org/wiki/Gwynedd_Mercy_University"
"Montgomery","H. Councill Trenholm State Community College","","https://en.wikipedia.org/wiki/H._Councill_Trenholm_State_Community_College"
"New Orleans","H. Sophie Newcomb Memorial College","","https://en.wikipedia.org/wiki/H._Sophie_Newcomb_Memorial_College"
"Hagerstown","Hagerstown Community College","","https://en.wikipedia.org/wiki/Hagerstown_Community_College"
"1969","Hallmark University","","https://en.wikipedia.org/wiki/Hallmark_University"
"Halmstad","Halmstad University","https://en.wikipedia.org/wiki/Halmstad","https://en.wikipedia.org/wiki/Halmstad_University"
"Clinton","Hamilton College","https://en.wikipedia.org/wiki/Clinton,_Oneida_County,_New_York","https://en.wikipedia.org/wiki/Hamilton_College_(New_York)"
"Hamilton","Hamilton Female College","",""
"Saint Paul","Hamline University","https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota","https://en.wikipedia.org/wiki/Saint_Catherine_University"
"Hampden Sydney","Hampden-Sydney College","","https://en.wikipedia.org/wiki/Hampden-Sydney_College"
"Farmville","Hampden–Sydney College","https://en.wikipedia.org/wiki/Farmville,_Virginia","https://en.wikipedia.org/wiki/Longwood_University"
